subject,Eword,Erecall,valencemean,arousalmean,Em1word,Em1recall
12,traidor,1,2.25,7.15,persona,0
12,tumor,1,1.33,7.45,raz�n,1
12,suicida,1,2.15,7.65,andamio,1
12,terrorista,1,1.5,7.6,estaci�n,1
12,amputacion,1,2.1,7.1,cadera,0
14,sufrimiento,0,1.95,8.3,piel,0
14,masacre,1,1.3,6.9,asociaci�n,0
14,terrorista,1,1.5,7.6,metro,1
14,hambruna,0,1.95,7.35,merienda,0
14,morgue,1,2.9,6.17,caj�n,0
14,asesino,1,2.03,7.6,aprendiz,1
14,asfixia,1,1.3,8,viento,1
14,nazi,1,1.6,7.95,cultura,0
14,amputacion,1,2.1,7.1,pierna,1
14,tumor,1,1.33,7.45,ingenio,0
14,traidor,1,2.25,7.15,colega,1
14,ceguera,0,2.75,6.95,video,1
14,violacion,1,1.18,8.13,resoluci�n,0
14,sida,0,1.45,7.35,transferencia,0
14,suicida,1,2.15,7.65,puente,0
14,crimen,1,2.15,7.9,capitulo,1
14,plaga,1,2.3,7,atm�sfera,1
14,cancer,1,1.23,7.8,reflectante,0
15,morgue,1,2.9,6.17,casillero,0
15,sida,1,1.45,7.35,importaci�n,0
15,asesino,1,2.03,7.6,actor,1
15,hambruna,1,1.95,7.35,desayuno,1
15,cancer,1,1.23,7.8,destello,1
15,tumor,1,1.33,7.45,cerebro,1
15,violacion,1,1.18,8.13,contrato,0
15,suicida,1,2.15,7.65,tejado,0
15,plaga,0,2.3,7,atm�sfera,0
15,nazi,1,1.6,7.95,visado,0
15,terrorista,0,1.5,7.6,tr�fico,1
15,ceguera,1,2.75,6.95,fotograf�a,0
15,masacre,1,1.3,6.9,asamblea,0
15,crimen,0,2.15,7.9,historia,0
15,amputacion,1,2.1,7.1,nudillo,0
15,traidor,1,2.25,7.15,relaci�n,1
15,sufrimiento,1,1.95,8.3,nervio,1
15,asfixia,1,1.3,8,branquias,1
16,traidor,0,2.25,7.15,mujer,0
16,suicida,1,2.15,7.65,andamio,0
16,ceguera,0,2.75,6.95,ojeada,0
16,masacre,0,1.3,6.9,gente,0
16,asesino,0,2.03,7.6,vocaci�n,0
16,amputacion,1,2.1,7.1,mu�eca,1
16,crimen,1,2.15,7.9,historia,1
16,sida,1,1.45,7.35,emisor,0
16,terrorista,1,1.5,7.6,pasajero,0
16,morgue,1,2.9,6.17,almac�n,1
16,sufrimiento,1,1.95,8.3,cuerpo,0
16,tumor,1,1.33,7.45,mente,0
16,hambruna,1,1.95,7.35,alimento,0
16,plaga,1,2.3,7,universo,1
16,asfixia,0,1.3,8,respiraci�n,1
16,cancer,0,1.23,7.8,reflectante,0
16,violacion,1,1.18,8.13,declaraci�n,0
16,nazi,1,1.6,7.95,visado,0
17,asfixia,1,1.3,8,nariz,0
17,nazi,1,1.6,7.95,visado,1
17,asesino,0,2.03,7.6,abogado,1
17,tumor,0,1.33,7.45,cerebro,1
17,amputacion,1,2.1,7.1,mu�eca,1
17,suicida,0,2.15,7.65,rascacielos,1
17,plaga,0,2.3,7,campo,0
17,morgue,1,2.9,6.17,bote,0
17,masacre,1,1.3,6.9,concentraci�n,0
17,sida,1,1.45,7.35,transferencia,1
17,hambruna,1,1.95,7.35,restaurante,0
17,traidor,0,2.25,7.15,hombre,0
17,cancer,0,1.23,7.8,sol,1
17,violacion,0,1.18,8.13,resoluci�n,1
17,sufrimiento,1,1.95,8.3,sensibilidad,1
17,crimen,0,2.15,7.9,capitulo,0
17,terrorista,1,1.5,7.6,estaci�n,1
17,ceguera,0,2.75,6.95,�ptica,0
18,morgue,1,2.9,6.17,dep�sito,0
18,terrorista,1,1.5,7.6,estaci�n,1
18,amputacion,1,2.1,7.1,muslo,1
18,tumor,1,1.33,7.45,meditaci�n,1
18,suicida,1,2.15,7.65,brinco,0
18,nazi,0,1.6,7.95,pasaporte,1
18,asfixia,1,1.3,8,soplo,0
18,sida,1,1.45,7.35,importaci�n,1
18,plaga,0,2.3,7,ambiente,0
18,ceguera,1,2.75,6.95,lupa,0
18,violacion,1,1.18,8.13,resoluci�n,0
18,sufrimiento,1,1.95,8.3,terciopelo,1
18,traidor,1,2.25,7.15,persona,0
18,cancer,1,1.23,7.8,luz,1
18,masacre,1,1.3,6.9,grupo,1
18,crimen,1,2.15,7.9,texto,1
18,hambruna,1,1.95,7.35,cena,1
18,asesino,1,2.03,7.6,ocupaci�n,1
19,sida,0,1.45,7.35,emisor,0
19,masacre,0,1.3,6.9,congreso,0
19,asfixia,0,1.3,8,oxigeno,0
19,amputacion,1,2.1,7.1,muslo,0
19,suicida,1,2.15,7.65,cima,0
19,violacion,1,1.18,8.13,regla,0
19,sufrimiento,0,1.95,8.3,contacto,0
19,asesino,1,2.03,7.6,f�sico,0
19,traidor,1,2.25,7.15,mujer,1
19,ceguera,0,2.75,6.95,escena,0
19,crimen,0,2.15,7.9,protagonista,0
19,tumor,1,1.33,7.45,cr�neo,1
19,terrorista,1,1.5,7.6,metro,1
19,plaga,0,2.3,7,crecimiento,0
19,hambruna,0,1.95,7.35,sopa,0
19,nazi,1,1.6,7.95,nacionalidad,1
19,cancer,1,1.23,7.8,esplendor,0
19,morgue,0,2.9,6.17,envase,0
20,violacion,1,1.18,8.13,cumplimiento,0
20,masacre,0,1.3,6.9,asamblea,1
20,asfixia,1,1.3,8,respiraci�n,1
20,traidor,0,2.25,7.15,ser,0
20,morgue,0,2.9,6.17,almac�n,1
20,plaga,0,2.3,7,planeta,0
20,sida,1,1.45,7.35,importaci�n,0
20,hambruna,1,1.95,7.35,cocinero,1
20,suicida,1,2.15,7.65,andamio,1
20,terrorista,1,1.5,7.6,concierto,0
20,cancer,1,1.23,7.8,destello,1
20,ceguera,0,2.75,6.95,ojo,0
20,nazi,0,1.6,7.95,originario,1
20,sufrimiento,1,1.95,8.3,piel,0
20,amputacion,1,2.1,7.1,mano,1
20,crimen,1,2.15,7.9,ficci�n,1
20,tumor,0,1.33,7.45,cr�neo,1
20,asesino,0,2.03,7.6,vocaci�n,0
21,hambruna,0,1.95,7.35,cena,1
21,amputacion,1,2.1,7.1,brazo,1
21,nazi,1,1.6,7.95,idioma,1
21,crimen,0,2.15,7.9,cuento,1
21,sida,0,1.45,7.35,mensaje,0
21,suicida,1,2.15,7.65,cima,1
21,tumor,0,1.33,7.45,cr�neo,1
21,asfixia,1,1.3,8,ventilaci�n,0
21,violacion,1,1.18,8.13,regla,0
21,traidor,0,2.25,7.15,ser,0
21,plaga,1,2.3,7,criatura,0
21,sufrimiento,1,1.95,8.3,sensibilidad,1
21,morgue,1,2.9,6.17,envase,1
21,masacre,1,1.3,6.9,simposio,0
21,terrorista,0,1.5,7.6,tr�fico,0
21,asesino,0,2.03,7.6,contable,1
21,ceguera,0,2.75,6.95,panorama,0
21,cancer,1,1.23,7.8,amanecer,1
22,asfixia,0,1.3,8,respiraci�n,0
22,morgue,1,2.9,6.17,trastero,0
22,nazi,1,1.6,7.95,inmigraci�n,1
22,traidor,1,2.25,7.15,mujer,1
22,masacre,1,1.3,6.9,asamblea,0
22,asesino,1,2.03,7.6,banquero,1
22,crimen,0,2.15,7.9,historia,0
22,tumor,1,1.33,7.45,cr�neo,1
22,hambruna,0,1.95,7.35,bocata,0
22,sufrimiento,1,1.95,8.3,dedo,1
22,sida,1,1.45,7.35,se�al,1
22,ceguera,0,2.75,6.95,�ptica,1
22,amputacion,1,2.1,7.1,codo,1
22,terrorista,0,1.5,7.6,concierto,1
22,violacion,1,1.18,8.13,norma,0
22,plaga,1,2.3,7,universo,1
22,suicida,1,2.15,7.65,andamio,1
22,cancer,1,1.23,7.8,luminoso,1
23,hambruna,1,1.95,7.35,cocina,0
23,violacion,1,1.18,8.13,resoluci�n,0
23,traidor,1,2.25,7.15,individuo,0
23,cancer,1,1.23,7.8,sol,1
23,plaga,0,2.3,7,evoluci�n,1
23,morgue,1,2.9,6.17,almac�n,1
23,sida,1,1.45,7.35,transacci�n,0
23,amputacion,1,2.1,7.1,brazo,1
23,sufrimiento,0,1.95,8.3,contacto,0
23,asfixia,0,1.3,8,brisa,0
23,terrorista,0,1.5,7.6,pasajero,0
23,crimen,0,2.15,7.9,continuaci�n,0
23,masacre,0,1.3,6.9,reuni�n,0
23,nazi,0,1.6,7.95,pasaporte,0
23,suicida,0,2.15,7.65,torre,0
23,ceguera,0,2.75,6.95,escena,0
23,tumor,0,1.33,7.45,raz�n,0
23,asesino,0,2.03,7.6,banquero,0
24,asesino,0,2.03,7.6,f�sico,1
24,nazi,0,1.6,7.95,extranjero,0
24,suicida,1,2.15,7.65,tejado,1
24,ceguera,0,2.75,6.95,mirada,0
24,hambruna,1,1.95,7.35,merienda,1
24,morgue,0,2.9,6.17,caj�n,0
24,amputacion,1,2.1,7.1,hombro,1
24,crimen,0,2.15,7.9,novela,1
24,sida,1,1.45,7.35,receptor,1
24,cancer,0,1.23,7.8,d�a,0
24,violacion,1,1.18,8.13,legislaci�n,0
24,plaga,1,2.3,7,crecimiento,0
24,sufrimiento,1,1.95,8.3,piel,1
24,masacre,1,1.3,6.9,asamblea,1
24,tumor,1,1.33,7.45,cr�neo,1
24,asfixia,0,1.3,8,ventilaci�n,0
24,traidor,0,2.25,7.15,tipo,0
24,terrorista,0,1.5,7.6,estaci�n,0
25,amputacion,0,2.1,7.1,codo,1
25,plaga,0,2.3,7,ambiente,0
25,traidor,1,2.25,7.15,ser,1
25,cancer,0,1.23,7.8,chispa,0
25,suicida,0,2.15,7.65,torre,0
25,ceguera,0,2.75,6.95,observador,0
25,terrorista,1,1.5,7.6,festival,0
25,hambruna,1,1.95,7.35,buffet,0
25,sida,1,1.45,7.35,emisor,1
25,crimen,0,2.15,7.9,ficci�n,0
25,sufrimiento,0,1.95,8.3,roce,0
25,nazi,1,1.6,7.95,pasaporte,1
25,asfixia,1,1.3,8,aire,1
25,violacion,1,1.18,8.13,permiso,1
25,masacre,1,1.3,6.9,reuni�n,0
25,asesino,1,2.03,7.6,contable,1
25,tumor,0,1.33,7.45,pensamiento,0
25,morgue,1,2.9,6.17,dep�sito,0
26,ceguera,0,2.75,6.95,observador,0
26,sufrimiento,1,1.95,8.3,nervio,0
26,masacre,0,1.3,6.9,asamblea,0
26,amputacion,0,2.1,7.1,extremidad,0
26,crimen,1,2.15,7.9,biograf�a,1
26,hambruna,1,1.95,7.35,bocata,0
26,morgue,0,2.9,6.17,dep�sito,1
26,violacion,0,1.18,8.13,permiso,0
26,asesino,0,2.03,7.6,empleo,0
26,terrorista,1,1.5,7.6,p�blico,0
26,nazi,1,1.6,7.95,natal,0
26,plaga,0,2.3,7,crecimiento,1
26,asfixia,0,1.3,8,boca,0
26,tumor,0,1.33,7.45,inteligencia,0
26,suicida,1,2.15,7.65,brinco,0
26,traidor,0,2.25,7.15,ser,0
26,sida,1,1.45,7.35,transmisi�n,1
26,cancer,1,1.23,7.8,d�a,1
27,hambruna,0,1.95,7.35,cocina,0
27,sufrimiento,1,1.95,8.3,sensibilidad,0
27,amputacion,0,2.1,7.1,extremidad,0
27,plaga,1,2.3,7,humanidad,1
27,terrorista,1,1.5,7.6,estaci�n,0
27,ceguera,1,2.75,6.95,escena,0
27,sida,1,1.45,7.35,destinatario,1
27,asesino,1,2.03,7.6,vocaci�n,1
27,cancer,0,1.23,7.8,d�a,1
27,violacion,1,1.18,8.13,contrato,1
27,crimen,1,2.15,7.9,continuaci�n,0
27,suicida,1,2.15,7.65,ventana,1
27,morgue,1,2.9,6.17,caja,0
27,tumor,1,1.33,7.45,cr�neo,1
27,traidor,1,2.25,7.15,sujeto,1
27,asfixia,1,1.3,8,pulm�n,0
27,nazi,1,1.6,7.95,inmigraci�n,0
27,masacre,0,1.3,6.9,grupo,0
28,violacion,0,1.18,8.13,declaraci�n,0
28,sida,1,1.45,7.35,intercambio,1
28,cancer,1,1.23,7.8,destello,0
28,plaga,1,2.3,7,criatura,1
28,nazi,1,1.6,7.95,originario,0
28,amputacion,1,2.1,7.1,mano,0
28,sufrimiento,0,1.95,8.3,roce,0
28,morgue,1,2.9,6.17,bote,0
28,traidor,0,2.25,7.15,individuo,1
28,terrorista,1,1.5,7.6,metro,1
28,crimen,1,2.15,7.9,protagonista,1
28,tumor,0,1.33,7.45,inteligencia,1
28,masacre,0,1.3,6.9,reuni�n,0
28,ceguera,0,2.75,6.95,ojeada,1
28,hambruna,1,1.95,7.35,alimento,0
28,suicida,1,2.15,7.65,puente,0
28,asfixia,0,1.3,8,pulm�n,1
28,asesino,1,2.03,7.6,ingeniero,1
29,hambruna,0,1.95,7.35,despensa,0
29,cancer,0,1.23,7.8,energ�a,0
29,sida,1,1.45,7.35,mensaje,1
29,nazi,1,1.6,7.95,extranjero,0
29,tumor,1,1.33,7.45,meditaci�n,0
29,terrorista,1,1.5,7.6,metro,0
29,morgue,1,2.9,6.17,contenedor,0
29,suicida,1,2.15,7.65,andamio,0
29,masacre,1,1.3,6.9,asamblea,1
29,traidor,1,2.25,7.15,ser,1
29,ceguera,0,2.75,6.95,ojo,1
29,crimen,1,2.15,7.9,libro,1
29,violacion,1,1.18,8.13,decisi�n,0
29,plaga,1,2.3,7,animal,1
29,asfixia,1,1.3,8,vapor,0
29,sufrimiento,1,1.95,8.3,piel,0
29,amputacion,1,2.1,7.1,articulaci�n,0
29,asesino,0,2.03,7.6,ocupaci�n,0
30,hambruna,0,1.95,7.35,bocata,0
30,amputacion,0,2.1,7.1,extremidad,0
30,ceguera,1,2.75,6.95,fotograf�a,0
30,sida,1,1.45,7.35,receptor,1
30,plaga,0,2.3,7,universo,0
30,cancer,1,1.23,7.8,eclipse,0
30,traidor,0,2.25,7.15,acompa�ante,0
30,terrorista,1,1.5,7.6,avi�n,0
30,violacion,1,1.18,8.13,cumplimiento,1
30,masacre,0,1.3,6.9,congregaci�n,0
30,asesino,1,2.03,7.6,empleo,0
30,morgue,0,2.9,6.17,dep�sito,0
