subject,CRPmean,oddballtype,transition,direction
69,0.566666666666667,E,from,backwards
70,0.333333333333333,E,from,backwards
71,0,E,from,backwards
72,0.25,E,from,backwards
73,0.1,E,from,backwards
74,1,E,from,backwards
75,0.333333333333333,E,from,backwards
4,0.875,E,from,forwards
5,0.425,E,from,forwards
6,0.2,E,from,forwards
7,0.275,E,from,forwards
9,0.4625,E,from,forwards
10,0.28,E,from,forwards
11,0.286666666666667,E,from,forwards
12,0.333333333333333,E,from,forwards
14,0.319047619047619,E,from,forwards
15,0.645833333333333,E,from,forwards
16,0.9,E,from,forwards
17,0.55,E,from,forwards
18,0.555555555555555,E,from,forwards
19,0.4,E,from,forwards
20,0.22,E,from,forwards
21,0.416666666666667,E,from,forwards
22,0.458333333333333,E,from,forwards
23,0.233333333333333,E,from,forwards
24,0.313333333333333,E,from,forwards
25,0.25,E,from,forwards
26,0,E,from,forwards
27,0.261904761904762,E,from,forwards
28,0.473333333333333,E,from,forwards
29,0.3,E,from,forwards
30,0.25,E,from,forwards
31,0.15,E,from,forwards
32,0.5,E,from,forwards
33,0.433333333333333,E,from,forwards
34,0.208333333333333,E,from,forwards
35,0.306666666666667,E,from,forwards
36,0.133333333333333,E,from,forwards
37,0.333333333333333,E,from,forwards
38,0.416666666666667,E,from,forwards
39,0.253333333333333,E,from,forwards
40,0.28,E,from,forwards
41,0.301904761904762,E,from,forwards
42,0.56,E,from,forwards
43,0.233333333333333,E,from,forwards
44,0.133333333333333,E,from,forwards
45,0.266666666666667,E,from,forwards
46,0.253333333333333,E,from,forwards
47,0.14,E,from,forwards
48,0.833333333333333,E,from,forwards
49,0.3,E,from,forwards
50,0.466666666666667,E,from,forwards
51,0.225,E,from,forwards
52,0.15,E,from,forwards
53,0.111111111111111,E,from,forwards
54,0.237619047619048,E,from,forwards
55,0.208333333333333,E,from,forwards
56,0.583333333333333,E,from,forwards
57,0.333333333333333,E,from,forwards
58,0.25,E,from,forwards
59,0,E,from,forwards
60,0.375,E,from,forwards
61,0.25,E,from,forwards
62,0.5,E,from,forwards
63,0.4375,E,from,forwards
64,0.333333333333333,E,from,forwards
65,0.444444444444444,E,from,forwards
66,0.833333333333333,E,from,forwards
67,0.216666666666667,E,from,forwards
68,0.266666666666667,E,from,forwards
69,0.283333333333333,E,from,forwards
70,0.25,E,from,forwards
71,0.8,E,from,forwards
72,0.666666666666667,E,from,forwards
73,0.383333333333333,E,from,forwards
74,0.5,E,from,forwards
75,0.366666666666667,E,from,forwards
4,0.75,P,to,backwards
5,0.394047619047619,P,to,backwards
6,0.14,P,to,backwards
7,0.12,P,to,backwards
9,0.3125,P,to,backwards
10,0.2,P,to,backwards
11,0.144444444444444,P,to,backwards
12,0.125,P,to,backwards
14,0.45,P,to,backwards
15,0.433333333333333,P,to,backwards
16,0.2,P,to,backwards
17,0.14,P,to,backwards
18,0.475,P,to,backwards
19,0.1,P,to,backwards
20,0.133333333333333,P,to,backwards
21,0,P,to,backwards
22,0.183333333333333,P,to,backwards
23,0.666666666666667,P,to,backwards
24,0.0625,P,to,backwards
25,0.3,P,to,backwards
26,0.45,P,to,backwards
27,0.04,P,to,backwards
28,0.0666666666666667,P,to,backwards
29,0.266666666666667,P,to,backwards
30,0.173809523809524,P,to,backwards
31,0.216666666666667,P,to,backwards
32,0.25,P,to,backwards
33,0.416666666666667,P,to,backwards
34,0.2,P,to,backwards
35,0.0619047619047619,P,to,backwards
36,0.4,P,to,backwards
37,0.433333333333333,P,to,backwards
38,0.2,P,to,backwards
39,0.8,P,to,backwards
40,0.28,P,to,backwards
41,0.116666666666667,P,to,backwards
42,0.35,P,to,backwards
43,0.466666666666667,P,to,backwards
44,1,P,to,backwards
45,0.456666666666667,P,to,backwards
46,0.423333333333333,P,to,backwards
47,0.0666666666666667,P,to,backwards
48,0.25,P,to,backwards
49,0.15,P,to,backwards
50,0.23,P,to,backwards
51,0.233333333333333,P,to,backwards
52,0.25,P,to,backwards
53,0.291666666666667,P,to,backwards
54,0.5,P,to,backwards
55,0.266666666666667,P,to,backwards
56,0,P,to,backwards
57,0.6,P,to,backwards
58,0.4375,P,to,backwards
59,0.4,P,to,backwards
60,0.0833333333333333,P,to,backwards
61,0.106666666666667,P,to,backwards
62,0.666666666666667,P,to,backwards
63,0.46,P,to,backwards
64,0.416666666666667,P,to,backwards
65,0.366666666666667,P,to,backwards
66,0.17,P,to,backwards
67,0.6,P,to,backwards
68,0.0666666666666667,P,to,backwards
69,0.396666666666667,P,to,backwards
70,0.25,P,to,backwards
71,0.233333333333333,P,to,backwards
72,0.2,P,to,backwards
73,0.216666666666667,P,to,backwards
74,0.555555555555555,P,to,backwards
75,0.14,P,to,backwards
4,0.466666666666667,P,to,forwards
5,0.14,P,to,forwards
6,0.166666666666667,P,to,forwards
7,0.15,P,to,forwards
9,0.44,P,to,forwards
10,0.3,P,to,forwards
11,0.138181818181818,P,to,forwards
12,0.566666666666667,P,to,forwards
14,0.133333333333333,P,to,forwards
15,0.133333333333333,P,to,forwards
16,0.233333333333333,P,to,forwards
17,0.25,P,to,forwards
18,0.133333333333333,P,to,forwards
19,0.19,P,to,forwards
20,0.458333333333333,P,to,forwards
21,0.375,P,to,forwards
22,0.251111111111111,P,to,forwards
23,0.125,P,to,forwards
24,0.316666666666667,P,to,forwards
25,0.283333333333333,P,to,forwards
26,0.266666666666667,P,to,forwards
27,0.154285714285714,P,to,forwards
28,0.273333333333333,P,to,forwards
29,0.416666666666667,P,to,forwards
30,0.233333333333333,P,to,forwards
31,0.24,P,to,forwards
32,0.13,P,to,forwards
33,0.25,P,to,forwards
34,0.141666666666667,P,to,forwards
35,0.235238095238095,P,to,forwards
36,0.2,P,to,forwards
37,0.146666666666667,P,to,forwards
38,0.2,P,to,forwards
39,0.166666666666667,P,to,forwards
40,0.14,P,to,forwards
41,0.2,P,to,forwards
42,0.333333333333333,P,to,forwards
43,0.316666666666667,P,to,forwards
44,0.286666666666667,P,to,forwards
45,0.266666666666667,P,to,forwards
46,0.1,P,to,forwards
47,0.375,P,to,forwards
48,0.35,P,to,forwards
49,0.283333333333333,P,to,forwards
50,0.107142857142857,P,to,forwards
51,0.118571428571429,P,to,forwards
52,0.277777777777778,P,to,forwards
53,0.226666666666667,P,to,forwards
54,0.18,P,to,forwards
55,0.08,P,to,forwards
56,0.33,P,to,forwards
57,0,P,to,forwards
58,0,P,to,forwards
59,0.222222222222222,P,to,forwards
60,0.5,P,to,forwards
61,0.186666666666667,P,to,forwards
62,0.133333333333333,P,to,forwards
63,0.171666666666667,P,to,forwards
64,0.458333333333333,P,to,forwards
65,0.1,P,to,forwards
66,0.152380952380952,P,to,forwards
67,0.316666666666667,P,to,forwards
68,0.433333333333333,P,to,forwards
69,0.18,P,to,forwards
70,0.14,P,to,forwards
71,0.336666666666667,P,to,forwards
72,0.146666666666667,P,to,forwards
73,0.16040404040404,P,to,forwards
74,0.48,P,to,forwards
75,0.228571428571429,P,to,forwards
4,0.416666666666667,P,from,backwards
5,0.366666666666667,P,from,backwards
6,0.1,P,from,backwards
7,0.566666666666667,P,from,backwards
9,0.106666666666667,P,from,backwards
10,0.25,P,from,backwards
11,0.3,P,from,backwards
12,0.25,P,from,backwards
14,0.158571428571429,P,from,backwards
15,0.22,P,from,backwards
16,0.533333333333333,P,from,backwards
17,0.106666666666667,P,from,backwards
18,0.173333333333333,P,from,backwards
19,0.15,P,from,backwards
20,0.2,P,from,backwards
21,0.45,P,from,backwards
22,0.273809523809524,P,from,backwards
23,0,P,from,backwards
24,0.286666666666667,P,from,backwards
25,0.15,P,from,backwards
26,0.266666666666667,P,from,backwards
27,0.357142857142857,P,from,backwards
28,0.233333333333333,P,from,backwards
29,0.2,P,from,backwards
30,0.22,P,from,backwards
31,0.366666666666667,P,from,backwards
32,0.183333333333333,P,from,backwards
33,0.25,P,from,backwards
34,0.106666666666667,P,from,backwards
35,0.2,P,from,backwards
36,0.25,P,from,backwards
37,0.17,P,from,backwards
38,0.385714285714286,P,from,backwards
39,0.316666666666667,P,from,backwards
40,0.156666666666667,P,from,backwards
41,0.666666666666667,P,from,backwards
42,0.174603174603175,P,from,backwards
43,0.293333333333333,P,from,backwards
44,0.35,P,from,backwards
45,0.266666666666667,P,from,backwards
46,0.228571428571429,P,from,backwards
47,0.19,P,from,backwards
48,0.19,P,from,backwards
49,0.37,P,from,backwards
50,0.533333333333333,P,from,backwards
51,0.0857142857142857,P,from,backwards
52,0.31,P,from,backwards
53,0.16,P,from,backwards
54,0.0333333333333333,P,from,backwards
55,0.25,P,from,backwards
56,0.19,P,from,backwards
57,0.5,P,from,backwards
58,0.3,P,from,backwards
59,0.666666666666667,P,from,backwards
60,0.133333333333333,P,from,backwards
61,0.45,P,from,backwards
62,0.04,P,from,backwards
63,0.2,P,from,backwards
64,0.307142857142857,P,from,backwards
65,0.166666666666667,P,from,backwards
66,0.285714285714286,P,from,backwards
67,0.286666666666667,P,from,backwards
68,0.166666666666667,P,from,backwards
69,0.0666666666666667,P,from,backwards
70,0.1,P,from,backwards
71,0.366666666666667,P,from,backwards
72,0.406666666666667,P,from,backwards
73,0.333333333333333,P,from,backwards
74,0.3,P,from,backwards
75,0.266666666666667,P,from,backwards
4,0.388888888888889,P,from,forwards
5,0.5,P,from,forwards
6,0.183333333333333,P,from,forwards
7,0.5,P,from,forwards
9,0.603333333333333,P,from,forwards
10,0.416666666666667,P,from,forwards
11,0.246666666666667,P,from,forwards
12,0.266666666666667,P,from,forwards
14,0.17,P,from,forwards
15,0.277777777777778,P,from,forwards
16,0.125,P,from,forwards
17,0.5625,P,from,forwards
18,0.25,P,from,forwards
19,0.333333333333333,P,from,forwards
20,0.0333333333333333,P,from,forwards
21,0.116666666666667,P,from,forwards
22,0.227142857142857,P,from,forwards
23,0.625,P,from,forwards
24,0.0666666666666667,P,from,forwards
25,0.25,P,from,forwards
26,0.361904761904762,P,from,forwards
27,0.0666666666666667,P,from,forwards
28,0.166666666666667,P,from,forwards
29,0.116666666666667,P,from,forwards
30,0.296666666666667,P,from,forwards
31,0.166666666666667,P,from,forwards
32,0.125,P,from,forwards
33,0.05,P,from,forwards
34,0.35,P,from,forwards
35,0.286666666666667,P,from,forwards
36,0.183333333333333,P,from,forwards
37,0.175,P,from,forwards
38,0.163333333333333,P,from,forwards
39,0.09,P,from,forwards
40,0.11547619047619,P,from,forwards
41,0.375,P,from,forwards
42,0.346666666666667,P,from,forwards
43,0.133333333333333,P,from,forwards
44,0.35,P,from,forwards
45,0.166666666666667,P,from,forwards
46,0.166666666666667,P,from,forwards
47,0.133333333333333,P,from,forwards
48,0.146666666666667,P,from,forwards
49,0.433333333333333,P,from,forwards
50,0.233333333333333,P,from,forwards
51,0.208333333333333,P,from,forwards
52,0,P,from,forwards
53,0.1125,P,from,forwards
54,0.333333333333333,P,from,forwards
55,0.333333333333333,P,from,forwards
56,0.1,P,from,forwards
57,0,P,from,forwards
58,0.125,P,from,forwards
59,0,P,from,forwards
60,0.5,P,from,forwards
61,0.208333333333333,P,from,forwards
62,0.213333333333333,P,from,forwards
63,0.152380952380952,P,from,forwards
64,0.263333333333333,P,from,forwards
65,0.3,P,from,forwards
66,0.208333333333333,P,from,forwards
67,0.13,P,from,forwards
68,0.222222222222222,P,from,forwards
69,0.205,P,from,forwards
70,0.5,P,from,forwards
71,0.5,P,from,forwards
72,0.283333333333333,P,from,forwards
73,0.274603174603175,P,from,forwards
74,0.625,P,from,forwards
75,0.395833333333333,P,from,forwards
