subject,word,recall,wordposition,valencemean,valencesd,arousalmean,arousalsd
7,asesino,0,E,2.03,1.27,7.6,1.73
7,intercambio,0,Em1,NaN,NaN,NaN,NaN
7,sida,1,E,1.45,0.69,7.35,1.46
7,observador,1,Em1,NaN,NaN,NaN,NaN
7,ceguera,0,E,2.75,1.33,6.95,1.39
7,pensamiento,1,Em1,NaN,NaN,NaN,NaN
7,tumor,0,E,1.33,0.69,7.45,1.05
7,simposio,1,Em1,NaN,NaN,NaN,NaN
7,masacre,1,E,1.3,0.57,6.9,2.15
7,historia,1,Em1,NaN,NaN,NaN,NaN
7,crimen,0,E,2.15,1.17,7.9,1.17
7,relaci�n,1,Em1,NaN,NaN,NaN,NaN
7,traidor,1,E,2.25,1.24,7.15,1.76
7,instrucci�n,0,Em1,NaN,NaN,NaN,NaN
7,violacion,1,E,1.18,0.5,8.13,1.11
7,cocina,1,Em1,NaN,NaN,NaN,NaN
7,hambruna,1,E,1.95,1.31,7.35,1.18
7,luz,0,Em1,NaN,NaN,NaN,NaN
7,cancer,0,E,1.23,0.73,7.8,1.24
7,humanidad,0,Em1,NaN,NaN,NaN,NaN
7,plaga,0,E,2.3,1.17,7,1.52
7,andamio,0,Em1,NaN,NaN,NaN,NaN
7,suicida,1,E,2.15,1.39,7.65,1.04
7,mu�eca,0,Em1,NaN,NaN,NaN,NaN
7,amputacion,1,E,2.1,1.17,7.1,1.45
7,piel,1,Em1,NaN,NaN,NaN,NaN
7,sufrimiento,0,E,1.95,1.15,8.3,0.86
9,cumplimiento,0,Em1,NaN,NaN,NaN,NaN
9,violacion,1,E,1.18,0.5,8.13,1.11
9,animal,0,Em1,NaN,NaN,NaN,NaN
9,plaga,0,E,2.3,1.17,7,1.52
9,chispa,1,Em1,NaN,NaN,NaN,NaN
9,cancer,1,E,1.23,0.73,7.8,1.24
9,trastero,0,Em1,NaN,NaN,NaN,NaN
9,morgue,1,E,2.9,1.95,6.17,1.93
9,nacionalidad,1,Em1,NaN,NaN,NaN,NaN
9,nazi,1,E,1.6,0.88,7.95,1.28
9,actor,0,Em1,NaN,NaN,NaN,NaN
9,asesino,0,E,2.03,1.27,7.6,1.73
9,neurona,1,Em1,NaN,NaN,NaN,NaN
9,tumor,1,E,1.33,0.69,7.45,1.05
9,panorama,0,Em1,NaN,NaN,NaN,NaN
9,ceguera,1,E,2.75,1.33,6.95,1.39
9,buffet,0,Em1,NaN,NaN,NaN,NaN
9,hambruna,1,E,1.95,1.31,7.35,1.18
9,simposio,1,Em1,NaN,NaN,NaN,NaN
9,masacre,1,E,1.3,0.57,6.9,2.15
9,brisa,0,Em1,NaN,NaN,NaN,NaN
9,asfixia,0,E,1.3,0.57,8,1.21
9,nervio,0,Em1,NaN,NaN,NaN,NaN
9,sufrimiento,0,E,1.95,1.15,8.3,0.86
9,brazo,1,Em1,NaN,NaN,NaN,NaN
9,amputacion,1,E,2.1,1.17,7.1,1.45
9,ser,1,Em1,NaN,NaN,NaN,NaN
9,traidor,1,E,2.25,1.24,7.15,1.76
9,bajada,0,Em1,NaN,NaN,NaN,NaN
9,suicida,0,E,2.15,1.39,7.65,1.04
9,comunicaci�n,1,Em1,NaN,NaN,NaN,NaN
9,sida,1,E,1.45,0.69,7.35,1.46
9,concierto,0,Em1,NaN,NaN,NaN,NaN
9,terrorista,1,E,1.5,0.88,7.6,1.39
9,ficci�n,1,Em1,NaN,NaN,NaN,NaN
9,crimen,1,E,2.15,1.17,7.9,1.17
10,balc�n,1,Em1,NaN,NaN,NaN,NaN
10,suicida,1,E,2.15,1.39,7.65,1.04
10,eclipse,1,Em1,NaN,NaN,NaN,NaN
