oddballtype,relativerecall,SOA,subject
Emotional,0.888888888888889,6,21
Emotional,0.6,6,21
Emotional,0.5,1,21
Emotional,0.833333333333333,4,21
Emotional,0.125,6,21
Emotional,1,3,21
Emotional,1,2,21
Emotional,1,4,21
Emotional,0.875,3,21
Emotional,0.8,4,22
Emotional,0.666666666666667,6,22
Emotional,0.75,2,22
Emotional,0.333333333333333,2,22
Emotional,1,4,22
Emotional,0.454545454545455,6,22
Emotional,0.555555555555556,2,22
Emotional,0.875,3,22
Emotional,0.818181818181818,1,22
Emotional,0.666666666666667,6,22
Emotional,0.666666666666667,4,22
Emotional,0.9,2,22
Emotional,1,3,22
Emotional,0.285714285714286,4,23
Emotional,1,3,23
Emotional,0.666666666666667,3,23
Emotional,0.9,6,23
Emotional,0.625,4,23
Emotional,0.571428571428571,1,23
Emotional,0.8,2,23
Emotional,0.8,3,23
Emotional,0.857142857142857,6,23
Emotional,0.5,6,24
Emotional,0.416666666666667,2,24
Emotional,0.375,4,24
Emotional,0.111111111111111,1,24
Emotional,0.5,1,24
Emotional,0.666666666666667,3,24
Emotional,0.25,6,24
Emotional,0.75,3,24
Emotional,0.857142857142857,1,24
Emotional,0.714285714285714,2,24
Emotional,0.857142857142857,2,24
Emotional,0.875,3,25
Emotional,0.25,1,25
Emotional,0.857142857142857,2,25
Emotional,1,1,25
Emotional,0.2,6,25
Emotional,0.777777777777778,3,25
Emotional,1,4,25
Emotional,0.75,3,25
Emotional,0.5,4,25
Emotional,0.666666666666667,4,25
Emotional,0.333333333333333,4,25
Emotional,1,3,26
Emotional,0.625,6,26
Emotional,0.666666666666667,2,26
Emotional,1,6,26
Emotional,0.2,1,26
Emotional,0.8,4,26
Emotional,1,1,26
Emotional,1,6,26
Emotional,1,4,26
Emotional,0.125,2,27
Emotional,0.916666666666667,6,27
Emotional,0.5,2,27
Emotional,0.625,1,27
Emotional,0.25,6,27
Emotional,1,3,27
Emotional,0.727272727272727,3,27
Emotional,1,6,27
Emotional,0.875,3,27
Emotional,0.583333333333333,4,27
Emotional,0.142857142857143,1,27
Emotional,0.875,1,27
Emotional,0.916666666666667,6,27
Emotional,1,3,27
Emotional,0.25,1,27
Emotional,0.1,6,28
Emotional,0.5,4,28
Emotional,0.875,4,28
Emotional,0.2,1,28
Emotional,0.125,6,28
Emotional,0.777777777777778,3,28
Emotional,0.3,6,28
Emotional,0.833333333333333,1,28
Emotional,1,3,28
Emotional,0.6,3,28
Emotional,0.888888888888889,4,28
Emotional,0.166666666666667,1,28
Emotional,0.5,3,29
Emotional,0.142857142857143,6,29
Emotional,1,6,29
Emotional,0.444444444444444,4,29
Emotional,1,2,29
Emotional,0.75,1,29
Emotional,0.285714285714286,6,29
Emotional,0.222222222222222,3,29
Emotional,0.666666666666667,2,29
Emotional,0.3,3,29
Emotional,0.571428571428571,2,29
Emotional,0.5,3,29
Emotional,0.727272727272727,4,29
Emotional,0.25,2,29
Emotional,0.75,1,29
Emotional,0.333333333333333,1,29
Emotional,1,3,30
Emotional,0.625,4,30
Emotional,0.125,6,30
Emotional,0.571428571428571,3,30
Emotional,1,1,30
Emotional,0.571428571428571,3,30
Emotional,0.666666666666667,4,30
Emotional,0.444444444444444,4,30
Emotional,1,6,30
Emotional,0.875,2,31
Emotional,0.714285714285714,6,31
Emotional,0.5,1,31
Emotional,0.8,1,31
Emotional,0.714285714285714,1,31
Emotional,0.9,3,31
Emotional,0.75,6,31
Emotional,0.875,3,31
Emotional,0.5,4,31
Emotional,0.7,6,31
Emotional,0.545454545454545,4,31
Emotional,0.153846153846154,4,31
Emotional,0.4,3,31
Emotional,0.833333333333333,2,31
Emotional,1,4,31
Emotional,0.25,4,32
Emotional,1,3,32
Emotional,0.777777777777778,2,32
Emotional,0.625,6,32
Emotional,0.777777777777778,4,32
Emotional,0.142857142857143,1,32
Emotional,0.5,3,32
Emotional,0.7,6,32
Emotional,0.545454545454545,4,32
Emotional,0.888888888888889,4,32
Emotional,0.375,2,32
Emotional,0.285714285714286,3,32
Emotional,0.916666666666667,6,32
Emotional,0.375,3,33
Emotional,1,4,33
Emotional,1,1,33
Emotional,0.166666666666667,2,33
Emotional,0.75,6,33
Emotional,0.571428571428571,4,33
Emotional,0.857142857142857,3,33
Emotional,0.333333333333333,1,33
Emotional,0.333333333333333,2,33
Emotional,0.75,2,33
Emotional,0.333333333333333,1,33
Emotional,0.636363636363636,2,33
Emotional,0.25,6,33
Emotional,0.666666666666667,3,33
Emotional,0.5,6,33
Emotional,0.714285714285714,6,34
Emotional,0.714285714285714,3,34
Emotional,1,4,34
Emotional,0.555555555555556,3,34
Emotional,0.5,6,34
Emotional,0.5,2,34
Emotional,0.428571428571429,1,34
Emotional,0.5,6,34
Emotional,0.666666666666667,1,34
Emotional,1,6,34
Emotional,0.333333333333333,3,34
Emotional,0.75,1,34
Emotional,0.857142857142857,2,34
Emotional,0.8,3,34
Emotional,0.857142857142857,4,35
Emotional,0.428571428571429,4,35
Emotional,0.8,1,35
Emotional,0.777777777777778,3,35
Emotional,0.857142857142857,1,35
Emotional,1,3,35
Emotional,1,4,35
Emotional,0.285714285714286,2,35
Emotional,0.833333333333333,6,35
Emotional,0.2,2,35
Emotional,1,3,35
Emotional,0.461538461538462,6,35
Emotional,0.538461538461538,6,35
Emotional,0.769230769230769,6,35
Emotional,0.166666666666667,2,36
Emotional,0.6,6,36
Emotional,0.75,3,36
Emotional,1,2,36
Emotional,0.833333333333333,3,36
Emotional,0.142857142857143,1,36
Emotional,1,4,36
Emotional,0.8,6,36
Emotional,0.857142857142857,6,36
Emotional,0.888888888888889,4,36
Emotional,0.333333333333333,6,36
Emotional,0.111111111111111,4,36
Emotional,0.125,4,36
Emotional,1,4,37
Emotional,0.75,3,37
Emotional,0.222222222222222,6,37
Emotional,0.333333333333333,1,37
Emotional,0.6,3,37
Emotional,0.9,2,37
Emotional,1,4,37
Emotional,0.142857142857143,6,37
Emotional,1,6,37
Emotional,0.875,3,37
Emotional,0.714285714285714,2,37
Emotional,0.714285714285714,2,37
Emotional,0.888888888888889,6,37
Emotional,0.5,1,37
Emotional,0.428571428571429,1,38
Emotional,0.25,3,38
Emotional,0.5,4,38
Emotional,0.285714285714286,3,38
Emotional,0.222222222222222,6,38
Emotional,0.555555555555556,6,38
Emotional,0.125,2,38
Emotional,0.571428571428571,1,38
Emotional,0.4,1,38
Emotional,0.666666666666667,2,38
Emotional,0.571428571428571,1,38
Emotional,0.5,2,39
Emotional,1,4,39
Emotional,0.75,1,39
Emotional,0.416666666666667,4,39
Emotional,0.888888888888889,4,39
Emotional,0.833333333333333,2,39
Emotional,0.666666666666667,3,39
Emotional,0.555555555555556,6,39
Emotional,0.692307692307692,6,39
Emotional,1,1,39
Emotional,0.75,3,39
Emotional,0.666666666666667,6,39
Emotional,0.375,2,39
Emotional,0.272727272727273,6,39
Emotional,0.454545454545455,3,39
Emotional,0.833333333333333,1,39
Emotional,0.833333333333333,1,40
Emotional,0.833333333333333,1,40
Emotional,0.625,2,40
Emotional,0.714285714285714,4,40
Emotional,0.1,4,40
Emotional,0.666666666666667,4,40
Emotional,0.4,1,40
Emotional,0.2,3,40
Emotional,0.714285714285714,6,40
Emotional,0.666666666666667,2,40
Emotional,0.7,3,40
Emotional,0.9,4,40
Emotional,0.3,6,40
Emotional,0.142857142857143,3,40
Emotional,0.857142857142857,1,40
Emotional,0.1,6,40
Emotional,0.777777777777778,6,40
Emotional,1,2,41
Emotional,0.111111111111111,6,41
Emotional,0.5,1,41
Emotional,0.125,4,41
Emotional,0.125,1,41
Emotional,1,2,41
Emotional,0.8,2,41
Emotional,0.111111111111111,2,41
Emotional,0.111111111111111,6,41
Emotional,0.25,4,41
Emotional,0.111111111111111,3,41
Emotional,0.166666666666667,3,41
Emotional,0.25,1,41
Emotional,0.6,3,41
Emotional,0.666666666666667,2,42
Emotional,0.363636363636364,4,42
Emotional,1,6,42
Emotional,0.888888888888889,4,42
Emotional,0.714285714285714,3,42
Emotional,0.571428571428571,2,42
Emotional,0.625,2,42
Emotional,1,6,42
Emotional,0.857142857142857,3,42
Emotional,0.333333333333333,6,42
Emotional,0.777777777777778,4,42
Emotional,0.125,1,42
Emotional,0.916666666666667,6,42
Emotional,0.8,4,42
Emotional,1,2,42
Emotional,0.571428571428571,4,43
Emotional,0.25,6,43
Emotional,0.555555555555556,3,43
Emotional,0.75,6,43
Emotional,0.6,4,43
Emotional,0.75,1,43
Emotional,0.5,4,43
Emotional,0.625,2,43
Emotional,0.333333333333333,4,43
Emotional,1,6,43
Emotional,0.416666666666667,2,43
Emotional,0.5,3,43
Emotional,1,2,44
Emotional,0.625,2,44
Emotional,0.5,4,44
Emotional,0.545454545454545,6,44
Emotional,0.714285714285714,1,44
Emotional,0.25,3,44
Emotional,0.7,6,44
Emotional,0.666666666666667,4,44
Emotional,0.5,4,45
Emotional,0.428571428571429,3,45
Emotional,1,3,45
Emotional,0.5,1,45
Emotional,0.777777777777778,6,45
Emotional,1,3,45
Emotional,0.833333333333333,2,45
Emotional,0.571428571428571,3,45
Emotional,0.181818181818182,6,45
Emotional,0.833333333333333,4,45
Emotional,0.4,6,45
Emotional,0.6,2,45
Emotional,1,1,45
Emotional,0.75,2,45
Emotional,0.888888888888889,2,45
Emotional,0.875,3,46
Emotional,0.142857142857143,3,46
Emotional,0.875,4,46
Emotional,0.777777777777778,3,46
Emotional,0.909090909090909,6,46
Emotional,0.75,4,46
Emotional,0.6,6,46
