Subject,E-2,E-1,E,E+1,P-2,P-1,P,P+1
4,0,0,0.25,-0.25,0.25,0,0,-0.25
5,0.5,0.5,0.75,0.75,-0.25,0,0.25,0.5
6,-0.25,0.25,0.25,0.25,-0.5,0.25,0.5,0.25
7,-0.25,0.25,0.5,0.25,0,-0.75,0,0
9,-0.5,-0.5,0,-0.25,0,-0.5,-0.25,-0.75
10,-0.25,-0.75,0,-0.25,0,-0.25,-0.5,0
11,0.25,0,0,0.25,-0.75,-0.75,0,-0.5
12,-0.5,-0.25,0,-0.5,-0.25,-0.75,-0.5,-0.5
14,0,0,0.25,0,0,0,0.25,-0.5
15,0,-0.25,0.5,0,-0.5,-0.75,-0.25,-0.5
16,0.5,0.25,0.75,0.25,-0.333333333333333,0,0,-1
17,-0.25,0.25,0,0.25,0,0.5,0.75,0
18,0.25,0.75,0.75,0.25,0.25,0,0.5,0.25
19,0,-0.25,0.5,0.25,0,-0.25,0.25,0.25
20,-0.25,-0.25,0.25,-0.75,-0.25,-0.75,-0.5,0
21,-0.75,-0.25,-0.25,-0.5,-0.25,0.25,0.25,0.25
22,0.25,0.25,0.25,0,0,0.25,0,0
23,-0.5,-0.5,0,-0.25,-0.25,-0.25,0,-0.25
24,0.25,0,0,0.25,-0.75,-0.5,-0.25,-0.5
25,0.25,0,0.5,-0.5,-0.5,0,0.25,-0.25
26,-0.25,0,0.25,-0.25,-0.25,0,0.25,0.25
27,-0.25,0,-0.25,0.25,0.25,0.25,0.25,0
28,0.25,0,0,-0.5,-0.75,-1,-0.5,-0.25
29,0.25,0.25,0.25,0.25,-0.5,-0.5,0,-0.5
30,0.5,-0.25,0.5,0,-0.25,-0.25,0,0
31,-0.25,-0.5,0,-0.5,-0.25,0.25,-0.25,-0.25
32,0,0,0.25,-0.75,0.25,0.25,0,0.25
33,0.25,-0.25,0,-0.25,0.5,0.5,0.25,0
34,-0.25,0,-0.5,-0.25,-0.25,0,0,0.25
35,0.25,-0.75,0,-0.5,-0.25,0,-0.25,0
36,-0.75,0,0.25,0,0.75,0.25,0.25,0.25
37,0,-0.25,-0.25,-0.5,-0.25,-0.25,0,-0.25
38,0.75,0.75,0.25,0.5,0,-0.25,0.25,-0.25
39,0.25,0,0,0,-0.25,-0.25,0,-0.25
40,0.25,0.5,0.5,-0.25,-0.25,-0.5,-0.5,-0.25
41,0.25,0.5,0.25,0.5,0.25,0,0,0.25
42,-0.25,-0.25,0.25,0.25,-0.25,0,0,-0.5
43,0.25,0,0.5,0,0,-0.25,-0.25,0
44,0.5,0,0,0,0,-0.25,-0.5,-0.25
45,-0.75,-0.75,-0.25,-0.25,0,0,-0.25,0
46,0.5,0.25,0.75,0.5,0.25,0,0.5,-0.25
47,0.5,0,0.25,0,0,0.5,0,0.25
48,-0.25,0,0,-0.25,-1,-0.75,-0.5,-0.5
49,0,0.5,0.25,0,0.25,-0.75,0,-0.25
50,-0.5,0,0.5,0,-0.25,0,0,0
51,0,0.333333333333333,0.333333333333333,0.333333333333333,-0.25,0,-0.25,-0.25
52,0.5,-0.5,0.25,-0.25,-0.25,0.25,0,0.25
53,0,0.25,0.5,-0.25,-0.25,0.25,0.25,0.25
54,-0.5,0,0,-0.25,0,0,0.25,0
55,-0.5,-0.75,-0.25,0,0.25,0.25,0,0.25
56,0.25,0.5,0.5,0.5,-0.25,-0.25,0.5,0
57,-0.25,0,0.75,0.25,-0.5,-0.75,-0.75,-0.5
58,0.25,0,0.75,0,0,-0.25,-0.25,-0.5
59,0.5,0.5,0,0,-0.5,0,-0.5,0.25
60,0.25,0.5,0.75,-0.25,0,-0.25,0,0
61,0.25,0.25,-0.25,-0.25,0.25,-0.25,0.5,0
62,-0.75,-0.25,-0.5,-0.5,0.25,0,-0.25,-0.25
63,0.5,0.25,0.5,0.5,0.25,0.5,0,-0.25
64,0.5,0,0.5,0,0,0.5,0.5,0
65,0,0.25,0.25,0,0,-0.5,-0.75,0.25
66,0,0,0.25,0,0,0.25,0.25,0
67,-0.25,0,0,-0.25,0.25,-0.25,-0.25,-0.25
68,0,-0.25,-0.5,0,0.5,0.75,0.25,0.5
69,0,0,0,0,0,-0.75,-0.25,0.25
70,0,0,0.25,-0.25,-0.75,-0.75,-0.75,-1
71,0.25,0.25,0,-0.25,-0.25,0,0.75,0.5
72,-0.25,0.25,0.5,0,-0.25,0,0,0.5
73,-0.25,-0.25,0,-0.5,-0.25,-0.25,0.25,0
74,0,0.25,0.5,0.25,0,-0.75,0,-0.5
75,-0.25,-0.25,-0.25,-0.25,0,-0.25,-0.25,0
