"","CRPall$CRP"
"1",0.0227272727272727
"2",0.0526315789473684
"3",0.09375
"4",0.204081632653061
"5",0.09375
"6",0.0869565217391304
"7",0.176470588235294
"8",0.0833333333333333
"9",0.145454545454545
"10",0.152542372881356
"11",0.153846153846154
"12",0.0980392156862745
"13",0.12280701754386
"14",0.025
"15",0.087719298245614
"16",0.0483870967741935
"17",0.1875
"18",0.137931034482759
"19",0.0689655172413793
"20",0.137254901960784
"21",0.0666666666666667
"22",0.125
"23",0.0491803278688525
"24",0.0847457627118644
"25",0.0833333333333333
"26",0.12962962962963
"27",0.12962962962963
"28",0.122448979591837
"29",0.144736842105263
"30",0.0833333333333333
"31",0.0961538461538462
"32",0.178571428571429
"33",0.12
"34",0.147540983606557
"35",0.115384615384615
"36",0.0555555555555556
"37",0.0857142857142857
"38",0.105263157894737
"39",0.172413793103448
"40",0.0555555555555556
"41",0.037037037037037
"42",0.1
"43",0.127659574468085
"44",0.145454545454545
"45",0.14
"46",0.109375
"47",0.0851063829787234
"48",0.0810810810810811
"49",0.0476190476190476
"50",0.161764705882353
"51",0.111111111111111
"52",0.125
"53",0.027027027027027
"54",0.0612244897959184
"55",0.0784313725490196
"56",0.0416666666666667
"57",0.16
"58",0.108695652173913
"59",0.0793650793650794
"60",0.108108108108108
"61",0.0416666666666667
"62",0.08
"63",0.111111111111111
"64",0.05
"65",0.0888888888888889
"66",0.128205128205128
"67",0.142857142857143
"68",0.0697674418604651
"69",0.05
"70",0.214285714285714
"71",0.0909090909090909
"72",0.0327868852459016
"73",0.0461538461538462
"74",0.161290322580645
"75",0.0806451612903226
"76",0.0379746835443038
"77",0.140350877192982
"78",0.08
"79",0.0967741935483871
"80",0.0967741935483871
"81",0.0714285714285714
"82",0.0178571428571429
"83",0.0677966101694915
"84",0.0454545454545455
"85",0.102941176470588
"86",0.101449275362319
"87",0.104477611940299
"88",0.129032258064516
"89",0.106060606060606
"90",0.15
"91",0.0540540540540541
"92",0.106060606060606
"93",0.0746268656716418
"94",0.0862068965517241
"95",0.185185185185185
"96",0.111111111111111
"97",0.0634920634920635
"98",0.0689655172413793
"99",0.111111111111111
"100",0.0847457627118644
"101",0.0793650793650794
"102",0.0810810810810811
"103",0.0833333333333333
"104",0.0298507462686567
"105",0.125
"106",0.0625
"107",0.0379746835443038
"108",0.1
"109",0.114285714285714
"110",0.0476190476190476
"111",0.101694915254237
"112",0.126984126984127
"113",0.137254901960784
"114",0.087719298245614
"115",0.158730158730159
"116",0.133333333333333
"117",0.142857142857143
"118",0.06
"119",0.0735294117647059
"120",0.0869565217391304
"121",0.132075471698113
"122",0.106382978723404
"123",0.0930232558139535
"124",0.0943396226415094
"125",0.0185185185185185
"126",0.0566037735849057
"127",0.129032258064516
"128",0.0980392156862745
"129",0.0694444444444444
"130",0.142857142857143
"131",0.0754716981132075
"132",0.09375
"133",0.0689655172413793
"134",0.116666666666667
"135",0.0740740740740741
"136",0.0975609756097561
"137",0.05
"138",0.0961538461538462
