oddballtype,relativerecall,SOA,subject
Perceptual,0.46061,3,30
Perceptual,0.56111,4,30
Perceptual,0.75926,6,30
Emotional,0.67143,1,31
Emotional,0.85417,2,31
Emotional,0.725,3,31
Emotional,0.54983,4,31
Emotional,0.72143,6,31
Perceptual,0.72348,1,31
Perceptual,0.625,2,31
Perceptual,0.63333,3,31
Perceptual,0.96154,4,31
Perceptual,0.54167,6,31
Emotional,0.14286,1,32
Emotional,0.57639,2,32
Emotional,0.59524,3,32
Emotional,0.61553,4,32
Emotional,0.74722,6,32
Perceptual,0.66667,1,32
Perceptual,0.15476,2,32
Perceptual,0.72917,3,32
Perceptual,0.525,4,32
Perceptual,0.875,6,32
Emotional,0.55555,1,33
Emotional,0.47159,2,33
Emotional,0.63294,3,33
Emotional,0.78571,4,33
Emotional,0.5,6,33
Perceptual,,1,33
Perceptual,0.41429,2,33
Perceptual,0.78571,3,33
Perceptual,0.58333,4,33
Perceptual,0.21591,6,33
Emotional,0.61508,1,34
Emotional,0.67857,2,34
Emotional,0.60079,3,34
Emotional,1,4,34
Emotional,0.67857,6,34
Perceptual,0.65873,1,34
Perceptual,0.72222,2,34
Perceptual,0.48193,3,34
Perceptual,0.52272,4,34
Perceptual,0.83333,6,34
Emotional,0.82857,1,35
Emotional,0.24286,2,35
Emotional,0.92593,3,35
Emotional,0.7619,4,35
Emotional,0.65064,6,35
Perceptual,0.45503,1,35
Perceptual,0.6,2,35
Perceptual,0.85577,3,35
Perceptual,0.49279,4,35
Perceptual,0.7282,6,35
Emotional,0.14286,1,36
Emotional,0.58334,2,36
Emotional,0.79167,3,36
Emotional,0.53125,4,36
Emotional,0.64762,6,36
Perceptual,0.46666,1,36
Perceptual,1,2,36
Perceptual,0.37037,3,36
Perceptual,0.75,4,36
Perceptual,0.60417,6,36
Emotional,0.41667,1,37
Emotional,0.77619,2,37
Emotional,0.74167,3,37
Emotional,1,4,37
Emotional,0.56349,6,37
Perceptual,0.46296,1,37
Perceptual,0.44444,2,37
Perceptual,0.12698,3,37
Perceptual,0.61699,4,37
Perceptual,0.52768,6,37
Emotional,0.49286,1,38
Emotional,0.39583,2,38
Emotional,0.26786,3,38
Emotional,0.5,4,38
Emotional,0.38889,6,38
Perceptual,0.52381,1,38
Perceptual,0.55873,2,38
Perceptual,0.63704,3,38
Perceptual,0.61111,4,38
Perceptual,0.36111,6,38
Emotional,0.86111,1,39
Emotional,0.56944,2,39
Emotional,0.62374,3,39
Emotional,0.76852,4,39
Emotional,0.54682,6,39
Perceptual,0.8,1,39
Perceptual,0.38095,2,39
Perceptual,0.45454,3,39
Perceptual,0.31145,4,39
Perceptual,0.38383,6,39
Emotional,,1,4
Emotional,0.77778,2,4
Emotional,0.71429,3,4
Emotional,0.78704,4,4
Emotional,0.85714,6,4
Perceptual,0.42857,1,4
Perceptual,0.66667,2,4
Perceptual,0.875,3,4
Perceptual,0.675,4,4
Perceptual,0.3254,6,4
Emotional,0.73095,1,40
Emotional,0.64583,2,40
Emotional,0.34762,3,40
Emotional,0.59524,4,40
Emotional,0.47302,6,40
Perceptual,0.20833,1,40
Perceptual,0.66288,2,40
Perceptual,0.35556,3,40
Perceptual,0.45238,4,40
Perceptual,0.6264,6,40
Emotional,0.29167,1,41
Emotional,0.72778,2,41
Emotional,0.29259,3,41
Emotional,0.1875,4,41
Emotional,0.11111,6,41
Perceptual,0.63162,1,41
Perceptual,0.75992,2,41
Perceptual,0.525,3,41
Perceptual,1,4,41
Perceptual,1,6,41
Emotional,0.125,1,42
Emotional,0.71578,2,42
Emotional,0.78571,3,42
Emotional,0.70758,4,42
Emotional,0.8125,6,42
Perceptual,0.38095,1,42
Perceptual,0.71717,2,42
Perceptual,0.38423,3,42
Perceptual,0.65,4,42
Perceptual,0.58864,6,42
Emotional,0.75,1,43
Emotional,0.52083,2,43
Emotional,0.52778,3,43
Emotional,0.50119,4,43
Emotional,0.66667,6,43
Perceptual,0.42857,1,43
Perceptual,0.66667,2,43
Perceptual,0.35063,3,43
Perceptual,0.44445,4,43
Perceptual,0.78409,6,43
Emotional,0.71429,1,44
Emotional,0.8125,2,44
Emotional,0.25,3,44
Emotional,0.58333,4,44
Emotional,0.62272,6,44
Perceptual,0.5,1,44
Perceptual,1,2,44
