subject,oddballtype,wordposition,SOA,normrec
10,E,p1,1,-0.5
11,E,p1,1,0.25
12,E,p1,1,0
14,E,p1,1,-0.5
15,E,p1,1,0.25
16,E,p1,1,0.5
17,E,p1,1,0
18,E,p1,1,0.5
19,E,p1,1,0.25
20,E,p1,1,0.25
21,E,p1,1,0
22,E,p1,1,-0.25
23,E,p1,1,0.25
24,E,p1,1,0
25,E,p1,1,-0.25
26,E,p1,1,-0.25
27,E,p1,1,0.5
28,E,p1,1,0.25
29,E,p1,1,0.5
30,E,p1,1,0.25
31,E,p1,1,0.25
32,E,p1,1,0.25
33,E,p1,1,0
34,E,p1,1,0.25
35,E,p1,1,-0.25
36,E,p1,1,-0.5
37,E,p1,1,-0.75
38,E,p1,1,0.75
39,E,p1,1,0.75
40,E,p1,1,-0.25
41,E,p1,1,0
42,E,p1,1,0.5
43,E,p1,1,-0.25
44,E,p1,1,0
45,E,p1,1,0
46,E,p1,1,0
47,E,p1,1,0
48,E,p1,1,0.25
49,E,p1,1,0
50,E,p1,1,-0.25
51,E,p1,1,-0.75
52,E,p1,1,-0.5
53,E,p1,1,0
54,E,p1,1,0.5
55,E,p1,1,0.5
56,E,p1,1,0
57,E,p1,1,-0.25
58,E,p1,1,0.25
59,E,p1,1,-0.5
60,E,p1,1,-0.25
61,E,p1,1,-0.5
62,E,p1,1,-0.5
63,E,p1,1,-0.5
64,E,p1,1,-0.75
65,E,p1,1,0
66,E,p1,1,-0.5
67,E,p1,1,0.25
68,E,p1,1,0.25
69,E,p1,1,0
70,E,p1,1,-0.25
71,E,p1,1,-0.25
72,E,p1,1,0
73,E,p1,1,-0.5
74,E,p1,1,-0.25
75,E,p1,1,-0.5
4,P,m2,1,-0.25
5,P,m2,1,0.25
6,P,m2,1,-0.5
7,P,m2,1,-0.5
9,P,m2,1,0
10,P,m2,1,0.25
11,P,m2,1,0.25
12,P,m2,1,0.25
14,P,m2,1,-0.25
15,P,m2,1,-0.5
16,P,m2,1,0.75
17,P,m2,1,0
18,P,m2,1,-0.25
19,P,m2,1,-0.75
20,P,m2,1,-0.5
21,P,m2,1,-0.25
22,P,m2,1,-0.25
23,P,m2,1,-0.25
24,P,m2,1,-0.5
25,P,m2,1,0
26,P,m2,1,-0.75
27,P,m2,1,-0.25
28,P,m2,1,-0.5
29,P,m2,1,-0.25
30,P,m2,1,0
31,P,m2,1,-0.25
32,P,m2,1,-0.5
33,P,m2,1,0
34,P,m2,1,-0.5
35,P,m2,1,-0.25
36,P,m2,1,-0.25
37,P,m2,1,-0.25
38,P,m2,1,-0.5
39,P,m2,1,-0.25
40,P,m2,1,0.25
41,P,m2,1,0.5
42,P,m2,1,-0.5
43,P,m2,1,-0.25
44,P,m2,1,-0.75
45,P,m2,1,-0.25
46,P,m2,1,0
47,P,m2,1,-0.25
48,P,m2,1,-0.25
49,P,m2,1,-0.25
50,P,m2,1,-0.25
51,P,m2,1,-0.5
52,P,m2,1,0.25
53,P,m2,1,-0.25
54,P,m2,1,-0.5
55,P,m2,1,0.25
56,P,m2,1,0.25
57,P,m2,1,-0.25
58,P,m2,1,-0.25
59,P,m2,1,0.25
60,P,m2,1,-0.25
61,P,m2,1,-0.25
62,P,m2,1,0.25
63,P,m2,1,0.25
64,P,m2,1,0
65,P,m2,1,0.25
66,P,m2,1,0.5
67,P,m2,1,-0.25
68,P,m2,1,0.5
69,P,m2,1,-0.25
70,P,m2,1,0
71,P,m2,1,0
72,P,m2,1,-0.25
73,P,m2,1,0.25
74,P,m2,1,0.25
75,P,m2,1,-0.5
4,P,m1,1,-0.5
5,P,m1,1,0
6,P,m1,1,-0.25
7,P,m1,1,-0.25
9,P,m1,1,0
10,P,m1,1,0.25
11,P,m1,1,0
12,P,m1,1,0.5
14,P,m1,1,0.25
15,P,m1,1,0
16,P,m1,1,0
17,P,m1,1,-0.25
18,P,m1,1,0
19,P,m1,1,-0.5
20,P,m1,1,-0.25
21,P,m1,1,-0.25
22,P,m1,1,-0.75
23,P,m1,1,-0.5
24,P,m1,1,-0.25
25,P,m1,1,-0.25
26,P,m1,1,-0.75
27,P,m1,1,0.25
28,P,m1,1,-0.75
29,P,m1,1,0
30,P,m1,1,0.25
31,P,m1,1,0
32,P,m1,1,-0.25
33,P,m1,1,-0.25
34,P,m1,1,0.25
35,P,m1,1,-0.75
36,P,m1,1,-0.25
37,P,m1,1,0
38,P,m1,1,-0.5
39,P,m1,1,0
40,P,m1,1,-0.25
41,P,m1,1,0.5
42,P,m1,1,-0.5
43,P,m1,1,-0.5
44,P,m1,1,0
45,P,m1,1,0.25
46,P,m1,1,-0.25
47,P,m1,1,-0.25
48,P,m1,1,-0.25
49,P,m1,1,-0.5
50,P,m1,1,-0.25
51,P,m1,1,0
52,P,m1,1,0
53,P,m1,1,-0.25
54,P,m1,1,-0.5
55,P,m1,1,0
56,P,m1,1,0
57,P,m1,1,0.5
58,P,m1,1,-0.25
59,P,m1,1,0.25
60,P,m1,1,0
61,P,m1,1,-0.25
62,P,m1,1,-0.25
63,P,m1,1,0
64,P,m1,1,0.25
65,P,m1,1,0.25
66,P,m1,1,0
67,P,m1,1,-0.5
68,P,m1,1,0.5
69,P,m1,1,0.25
70,P,m1,1,0.75
71,P,m1,1,0.5
72,P,m1,1,0.25
73,P,m1,1,0
74,P,m1,1,0.25
75,P,m1,1,-0.25
4,P,odd,1,0.25
5,P,odd,1,0.25
6,P,odd,1,-0.5
7,P,odd,1,-0.25
9,P,odd,1,0.5
10,P,odd,1,0.5
11,P,odd,1,0.25
12,P,odd,1,1
14,P,odd,1,0
15,P,odd,1,0
16,P,odd,1,0.5
17,P,odd,1,0
18,P,odd,1,0
19,P,odd,1,-0.5
20,P,odd,1,0
21,P,odd,1,-0.25
22,P,odd,1,0
23,P,odd,1,-0.25
24,P,odd,1,-0.25
25,P,odd,1,0.5
26,P,odd,1,-0.5
27,P,odd,1,0.25
28,P,odd,1,-0.25
29,P,odd,1,-0.25
30,P,odd,1,0.5
31,P,odd,1,0.25
32,P,odd,1,-0.25
33,P,odd,1,-0.5
34,P,odd,1,0
35,P,odd,1,0
36,P,odd,1,-0.25
37,P,odd,1,0.25
38,P,odd,1,0.25
39,P,odd,1,0.25
40,P,odd,1,0.5
41,P,odd,1,0.5
42,P,odd,1,-0.25
43,P,odd,1,-0.75
44,P,odd,1,-0.5
45,P,odd,1,0
46,P,odd,1,-0.25
47,P,odd,1,0
48,P,odd,1,-0.25
49,P,odd,1,0
50,P,odd,1,-0.25
51,P,odd,1,-0.25
52,P,odd,1,0
53,P,odd,1,0
54,P,odd,1,-0.25
55,P,odd,1,0.25
56,P,odd,1,-0.25
57,P,odd,1,0
58,P,odd,1,-0.25
59,P,odd,1,-0.25
60,P,odd,1,0.75
61,P,odd,1,0
62,P,odd,1,-0.25
63,P,odd,1,0.75
64,P,odd,1,0
65,P,odd,1,0.25
66,P,odd,1,-0.25
67,P,odd,1,0.25
68,P,odd,1,0
69,P,odd,1,0
70,P,odd,1,0.25
71,P,odd,1,0
72,P,odd,1,0
73,P,odd,1,0.5
74,P,odd,1,0
75,P,odd,1,0
4,P,p1,1,0
5,P,p1,1,0.5
6,P,p1,1,-0.5
7,P,p1,1,-0.25
9,P,p1,1,0
10,P,p1,1,0.5
11,P,p1,1,0.25
12,P,p1,1,0.5
14,P,p1,1,0
15,P,p1,1,0
16,P,p1,1,0.25
17,P,p1,1,0
18,P,p1,1,0.25
19,P,p1,1,-0.75
20,P,p1,1,-0.25
21,P,p1,1,0.5
22,P,p1,1,-0.75
23,P,p1,1,-0.25
24,P,p1,1,-0.25
25,P,p1,1,0.5
26,P,p1,1,-0.5
27,P,p1,1,-0.5
28,P,p1,1,-0.75
29,P,p1,1,-0.25
30,P,p1,1,0.25
31,P,p1,1,0
32,P,p1,1,0.25
33,P,p1,1,0
34,P,p1,1,-0.75
35,P,p1,1,-0.5
36,P,p1,1,-0.75
37,P,p1,1,-0.25
38,P,p1,1,0
39,P,p1,1,-0.25
40,P,p1,1,0.5
41,P,p1,1,0
42,P,p1,1,0.25
43,P,p1,1,-0.5
44,P,p1,1,-0.75
45,P,p1,1,0.25
46,P,p1,1,0
47,P,p1,1,-0.5
48,P,p1,1,0
49,P,p1,1,0
50,P,p1,1,-0.25
51,P,p1,1,-0.25
52,P,p1,1,0
53,P,p1,1,0
54,P,p1,1,-0.5
55,P,p1,1,0
56,P,p1,1,0
57,P,p1,1,-0.25
58,P,p1,1,-0.25
59,P,p1,1,0.25
60,P,p1,1,0
61,P,p1,1,-0.5
62,P,p1,1,-0.25
63,P,p1,1,0.25
64,P,p1,1,-0.25
65,P,p1,1,0
66,P,p1,1,-0.5
67,P,p1,1,0
68,P,p1,1,0
69,P,p1,1,0
70,P,p1,1,0.5
71,P,p1,1,0
72,P,p1,1,0
73,P,p1,1,0
74,P,p1,1,0
75,P,p1,1,-0.5
