subject,oddballtype,wordposition,SOA,normrec
4,E,m2,3,0.5
5,E,m2,3,-0.25
6,E,m2,3,0.5
7,E,m2,3,0
9,E,m2,3,0.5
10,E,m2,3,0
11,E,m2,3,-0.25
12,E,m2,3,0
14,E,m2,3,-0.5
15,E,m2,3,0
16,E,m2,3,0
17,E,m2,3,0.5
18,E,m2,3,0.25
19,E,m2,3,0.5
20,E,m2,3,0
21,E,m2,3,0.25
22,E,m2,3,-0.25
23,E,m2,3,-0.25
24,E,m2,3,-0.25
25,E,m2,3,-0.25
26,E,m2,3,-0.5
27,E,m2,3,0
28,E,m2,3,-0.25
29,E,m2,3,-0.25
30,E,m2,3,-0.75
31,E,m2,3,-0.25
32,E,m2,3,-0.5
33,E,m2,3,-0.25
34,E,m2,3,0.25
35,E,m2,3,0.25
36,E,m2,3,0.5
37,E,m2,3,0.25
38,E,m2,3,0
39,E,m2,3,0
40,E,m2,3,0.75
41,E,m2,3,0
42,E,m2,3,0.5
43,E,m2,3,0
44,E,m2,3,0.25
45,E,m2,3,0
46,E,m2,3,0.333333333333333
47,E,m2,3,0
48,E,m2,3,0.25
49,E,m2,3,-0.25
50,E,m2,3,0
51,E,m2,3,-0.25
52,E,m2,3,0.333333333333333
53,E,m2,3,-0.25
54,E,m2,3,-0.5
55,E,m2,3,-0.75
56,E,m2,3,0
57,E,m2,3,-0.5
58,E,m2,3,-0.5
59,E,m2,3,0
60,E,m2,3,-0.5
61,E,m2,3,0.5
62,E,m2,3,0.25
63,E,m2,3,0
64,E,m2,3,0.75
65,E,m2,3,-0.333333333333333
66,E,m2,3,0
67,E,m2,3,0.25
68,E,m2,3,-0.5
69,E,m2,3,0.25
70,E,m2,3,0
71,E,m2,3,0
72,E,m2,3,0
73,E,m2,3,-0.25
74,E,m2,3,0
75,E,m2,3,-0.25
4,E,m1,3,0.25
5,E,m1,3,0
6,E,m1,3,0.5
7,E,m1,3,0
9,E,m1,3,0
10,E,m1,3,0.25
11,E,m1,3,0
12,E,m1,3,-0.5
14,E,m1,3,-0.25
15,E,m1,3,0.25
16,E,m1,3,-0.25
17,E,m1,3,0
18,E,m1,3,0
19,E,m1,3,0
20,E,m1,3,0.25
21,E,m1,3,0.25
22,E,m1,3,0
23,E,m1,3,-0.25
24,E,m1,3,0
25,E,m1,3,0.25
26,E,m1,3,-0.5
27,E,m1,3,0
28,E,m1,3,-0.5
29,E,m1,3,0
30,E,m1,3,-0.75
31,E,m1,3,0.25
32,E,m1,3,-0.5
33,E,m1,3,-0.25
34,E,m1,3,0.25
35,E,m1,3,-0.25
36,E,m1,3,0.25
37,E,m1,3,0.25
38,E,m1,3,0
39,E,m1,3,0.25
40,E,m1,3,1
41,E,m1,3,-0.25
42,E,m1,3,0.5
43,E,m1,3,0.25
44,E,m1,3,0
45,E,m1,3,0
46,E,m1,3,0.333333333333333
