subject,SOA,CRPmean,transition,direction
61,2,0.5,from,forwards
62,2,0.333333333333333,from,forwards
63,2,1,from,forwards
64,2,0.375,from,forwards
65,2,1,from,forwards
66,2,NaN,from,forwards
67,2,1,from,forwards
68,2,NaN,from,forwards
69,2,0,from,forwards
70,2,0,from,forwards
71,2,NaN,from,forwards
72,2,NaN,from,forwards
73,2,1,from,forwards
74,2,NaN,from,forwards
75,2,0.25,from,forwards
4,3,0.666666666666667,from,forwards
5,3,0.5,from,forwards
6,3,0,from,forwards
7,3,1,from,forwards
9,3,0.333333333333333,from,forwards
10,3,0.5,from,forwards
11,3,0,from,forwards
12,3,0.4,from,forwards
14,3,0.5,from,forwards
15,3,1,from,forwards
16,3,1,from,forwards
17,3,1,from,forwards
18,3,1,from,forwards
19,3,1,from,forwards
20,3,0,from,forwards
21,3,NaN,from,forwards
22,3,1,from,forwards
23,3,NaN,from,forwards
24,3,0.5,from,forwards
25,3,0,from,forwards
26,3,NaN,from,forwards
27,3,NaN,from,forwards
28,3,0.333333333333333,from,forwards
29,3,0.125,from,forwards
30,3,0,from,forwards
31,3,0,from,forwards
32,3,1,from,forwards
33,3,0,from,forwards
34,3,0,from,forwards
35,3,NaN,from,forwards
36,3,0,from,forwards
37,3,0,from,forwards
38,3,1,from,forwards
39,3,0,from,forwards
40,3,0.25,from,forwards
41,3,0.333333333333333,from,forwards
42,3,0.666666666666667,from,forwards
43,3,0.5,from,forwards
44,3,0,from,forwards
45,3,0,from,forwards
46,3,0.5,from,forwards
47,3,0.5,from,forwards
48,3,NaN,from,forwards
49,3,0,from,forwards
50,3,1,from,forwards
51,3,0.25,from,forwards
52,3,0,from,forwards
53,3,0,from,forwards
54,3,0.2,from,forwards
55,3,0,from,forwards
56,3,1,from,forwards
57,3,0,from,forwards
58,3,NaN,from,forwards
59,3,0,from,forwards
60,3,0.666666666666667,from,forwards
61,3,0.5,from,forwards
62,3,NaN,from,forwards
63,3,0,from,forwards
64,3,0.666666666666667,from,forwards
65,3,0,from,forwards
66,3,0,from,forwards
67,3,0.666666666666667,from,forwards
68,3,NaN,from,forwards
69,3,0,from,forwards
70,3,NaN,from,forwards
71,3,1,from,forwards
72,3,0,from,forwards
73,3,0.5,from,forwards
74,3,NaN,from,forwards
75,3,0,from,forwards
4,4,1,from,forwards
5,4,NaN,from,forwards
6,4,0,from,forwards
7,4,0.125,from,forwards
9,4,1,from,forwards
10,4,0,from,forwards
11,4,0,from,forwards
12,4,0.333333333333333,from,forwards
14,4,0.125,from,forwards
15,4,0.666666666666667,from,forwards
16,4,0.5,from,forwards
17,4,1,from,forwards
18,4,0.75,from,forwards
19,4,0,from,forwards
20,4,0.125,from,forwards
21,4,NaN,from,forwards
22,4,0,from,forwards
23,4,0.2,from,forwards
24,4,0.5,from,forwards
25,4,0.5,from,forwards
26,4,NaN,from,forwards
27,4,0,from,forwards
28,4,NaN,from,forwards
29,4,NaN,from,forwards
30,4,0.375,from,forwards
31,4,0.166666666666667,from,forwards
32,4,1,from,forwards
33,4,NaN,from,forwards
34,4,NaN,from,forwards
35,4,0.333333333333333,from,forwards
36,4,0,from,forwards
37,4,NaN,from,forwards
38,4,NaN,from,forwards
39,4,0,from,forwards
40,4,0.25,from,forwards
41,4,0,from,forwards
42,4,0.5,from,forwards
43,4,0.2,from,forwards
44,4,0,from,forwards
45,4,0.5,from,forwards
46,4,1,from,forwards
47,4,0,from,forwards
48,4,1,from,forwards
49,4,NaN,from,forwards
50,4,0,from,forwards
51,4,0,from,forwards
52,4,0,from,forwards
53,4,0.333333333333333,from,forwards
54,4,0.4,from,forwards
55,4,0.333333333333333,from,forwards
56,4,0.5,from,forwards
57,4,0.5,from,forwards
58,4,0.5,from,forwards
59,4,NaN,from,forwards
60,4,0,from,forwards
61,4,NaN,from,forwards
62,4,1,from,forwards
63,4,0.5,from,forwards
64,4,1,from,forwards
65,4,1,from,forwards
66,4,1,from,forwards
67,4,0,from,forwards
68,4,0,from,forwards
69,4,0.333333333333333,from,forwards
70,4,1,from,forwards
71,4,1,from,forwards
72,4,0.5,from,forwards
73,4,0.25,from,forwards
74,4,0.5,from,forwards
75,4,NaN,from,forwards
4,6,1,from,forwards
5,6,0.333333333333333,from,forwards
6,6,0.5,from,forwards
7,6,NaN,from,forwards
9,6,0.388888888888889,from,forwards
10,6,0.333333333333333,from,forwards
11,6,1,from,forwards
12,6,NaN,from,forwards
14,6,0,from,forwards
15,6,0,from,forwards
16,6,1,from,forwards
17,6,0.333333333333333,from,forwards
18,6,1,from,forwards
19,6,0.333333333333333,from,forwards
20,6,0.1875,from,forwards
21,6,1,from,forwards
22,6,0.375,from,forwards
23,6,0,from,forwards
24,6,0.375,from,forwards
25,6,0,from,forwards
26,6,0,from,forwards
27,6,0.666666666666667,from,forwards
28,6,0.4,from,forwards
29,6,0.3,from,forwards
30,6,0,from,forwards
31,6,0.25,from,forwards
32,6,0.75,from,forwards
33,6,0.333333333333333,from,forwards
34,6,0.375,from,forwards
35,6,0.25,from,forwards
36,6,0.333333333333333,from,forwards
37,6,0.333333333333333,from,forwards
38,6,0.25,from,forwards
39,6,0.333333333333333,from,forwards
40,6,0.25,from,forwards
41,6,0.2,from,forwards
42,6,1,from,forwards
43,6,0,from,forwards
44,6,0.25,from,forwards
45,6,0.208333333333333,from,forwards
46,6,0.5,from,forwards
47,6,0,from,forwards
48,6,0.5,from,forwards
49,6,0.333333333333333,from,forwards
50,6,0.375,from,forwards
51,6,0,from,forwards
52,6,1,from,forwards
53,6,0,from,forwards
54,6,0.1,from,forwards
55,6,0.166666666666667,from,forwards
56,6,NaN,from,forwards
57,6,NaN,from,forwards
58,6,0.222222222222222,from,forwards
59,6,NaN,from,forwards
60,6,NaN,from,forwards
61,6,0.25,from,forwards
62,6,0.666666666666667,from,forwards
63,6,0,from,forwards
64,6,0.3,from,forwards
65,6,0,from,forwards
66,6,1,from,forwards
67,6,0.333333333333333,from,forwards
68,6,0.2,from,forwards
69,6,0.625,from,forwards
70,6,0.25,from,forwards
71,6,1,from,forwards
72,6,1,from,forwards
73,6,NaN,from,forwards
74,6,NaN,from,forwards
75,6,1,from,forwards
