"","fig4res"
"2",0.666666666666667
"4",0.166666666666667
"5",0.0666666666666672
"6",-0.333333333333333
"8",0.166666666666667
"9",-0.333333333333333
"10",-0.266666666666666
"14",-0.333333333333333
"15",0.666666666666667
"16",-0.333333333333333
"17",-0.133333333333333
"18",-0.333333333333333
"19",-0.333333333333333
"20",-0.333333333333333
"22",-0.166666666666666
"24",0.166666666666667
"25",-0.333333333333333
"26",-0.166666666666666
"29",0.166666666666667
"30",0.166666666666667
"33",0.666666666666667
"34",-0.333333333333333
"35",-0.333333333333333
"38",0.666666666666667
"44",1.11022302462516e-16
"45",-0.333333333333333
"46",-0.333333333333333
"47",-0.333333333333333
"49",-0.333333333333333
"52",0.666666666666667
"53",0.666666666666667
"59",0.666666666666667
"60",0.166666666666667
"62",-0.333333333333333
"63",0.166666666666667
"66",0.166666666666667
"69",-0.333333333333333
"71",-0.360867446393762
"72",-0.360867446393762
"73",-0.360867446393762
"74",0.639132553606238
"76",0.139132553606238
"77",-0.0275341130604292
"78",-0.0275341130604292
"79",0.0835769980506818
"80",-0.360867446393762
"81",0.305799220272905
"83",0.139132553606238
"84",-0.110867446393762
"86",-0.360867446393762
"87",0.139132553606238
"88",-0.360867446393762
"89",-0.194200779727095
"90",0.139132553606238
"91",0.639132553606238
"92",-0.360867446393762
"94",-0.360867446393762
"96",-0.360867446393762
"97",-0.110867446393762
"98",0.639132553606238
"99",-0.110867446393762
"100",0.639132553606238
"101",-0.360867446393762
"102",-0.194200779727095
"103",0.139132553606238
"104",0.139132553606238
"106",-0.360867446393762
"107",-0.0608674463937622
"108",0.139132553606238
"110",-0.110867446393762
"111",-0.360867446393762
"112",-0.235867446393762
"113",0.139132553606238
"114",-0.360867446393762
"115",-0.110867446393762
"116",0.139132553606238
"117",-0.110867446393762
"118",0.639132553606238
"119",0.139132553606238
"120",-0.360867446393762
"121",0.139132553606238
"122",-0.360867446393762
"124",-0.194200779727095
"125",-0.360867446393762
"126",0.639132553606238
"131",-0.360867446393762
"132",-0.160867446393762
"133",-0.194200779727095
"134",-0.360867446393762
"135",0.639132553606238
"136",0.639132553606238
"137",0.639132553606238
"138",0.639132553606238
"140",0.139132553606238
"141",0.23441091954023
"142",-0.26558908045977
"144",0.73441091954023
"145",-0.26558908045977
"146",0.23441091954023
"147",-0.26558908045977
"150",0.401077586206897
"151",-0.26558908045977
"152",-0.26558908045977
"153",0.067744252873563
"154",-0.26558908045977
"155",-0.26558908045977
"156",-0.26558908045977
"157",-0.01558908045977
"158",-0.01558908045977
"159",-0.26558908045977
"160",-0.26558908045977
"162",0.17191091954023
"163",-0.26558908045977
"164",0.23441091954023
"165",0.23441091954023
"166",-0.01558908045977
"167",-0.26558908045977
"168",-0.26558908045977
"169",0.23441091954023
"170",-0.16558908045977
"172",-0.26558908045977
"173",0.73441091954023
"174",0.067744252873563
"175",0.401077586206897
"177",-0.26558908045977
"178",-0.26558908045977
"180",-0.01558908045977
"181",-0.26558908045977
"182",0.73441091954023
"184",0.23441091954023
"185",-0.26558908045977
"186",0.23441091954023
"188",-0.06558908045977
"189",0.23441091954023
"190",-0.26558908045977
"191",-0.26558908045977
"192",-0.26558908045977
"193",0.067744252873563
"194",0.73441091954023
"195",-0.26558908045977
"196",0.73441091954023
"198",0.067744252873563
"199",-0.26558908045977
"200",0.23441091954023
"201",0.23441091954023
"202",0.067744252873563
"203",-0.26558908045977
"204",-0.01558908045977
"205",-0.098922413793103
"206",-0.26558908045977
