Subject,E-2,E-1,E,E+1,P-2,P-1,P,P+1
4,-0.5,-0.75,-0.5,0.25,0.5,0,0.25,0
5,0,-0.25,-0.25,-0.25,-0.25,0,0,0
6,0.25,0,0.25,-0.25,0,0.75,0.25,0.25
7,-0.25,-0.25,-0.5,0.5,0,0.25,-0.5,0
9,0,0,0,0.25,-0.25,-0.5,-0.75,-0.5
10,0.25,0.25,0.5,0.25,0.25,0.75,0.5,0.25
11,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,0.25
12,-0.5,0,0.5,-0.25,0,0,-0.25,-0.5
14,0,0.25,0.25,-0.5,-0.5,-0.5,-0.25,0
15,-0.25,-0.25,0.25,-0.25,0,0.25,0.5,0.75
16,0,-0.25,0.25,0,0.25,0.5,0.25,0.5
17,0,0.25,0.25,-0.25,-0.25,0,-0.5,0
18,-0.25,0.5,0.75,0.75,0.75,0,0.5,0
19,0.25,-0.5,0,0,0.5,0.5,0.5,0.25
20,0.5,0.5,0.75,0.75,0,-0.25,0.25,-0.25
21,0.5,0.25,0.25,0,0,0.25,-0.25,-0.25
22,-0.25,-0.25,0,-0.5,-0.25,-0.25,0,-0.5
23,-0.25,-0.25,0,0,0,0,0,0
24,0,0.25,0.25,0.5,0.75,0,0.75,0.5
25,0.25,0.25,0,0,0.25,0.25,0.5,0.5
26,-0.25,0,0.25,-0.25,-0.75,-0.25,0,0
27,0.25,0,0.25,0.25,0.5,0.5,0.5,0.25
28,0.25,0,0.25,0.25,0,0.25,0.5,-0.5
29,-0.25,-0.5,0.25,0.25,-0.25,0,0,0
30,0.25,0.25,0,-0.25,-0.25,-0.25,0,-0.25
31,-0.25,-0.5,0,-0.25,0,0.25,0.25,0.25
32,0.5,0.25,0.25,0.25,0.25,0,-0.5,-0.25
33,-0.5,0,0,-0.25,0.5,0,0,0.25
34,-0.25,-0.25,0,0,-0.25,0,-0.5,0
35,0.25,0,0.25,0,0.25,0,0.25,0.5
36,0.5,0,0.5,0.25,-0.75,-0.75,0,-0.25
37,0.25,0.5,0.75,0.75,-0.25,0.25,0.75,0.25
38,0,-0.5,-0.25,-0.25,0,0.25,0.25,0.25
39,0.5,0,0.5,0,-0.75,0.25,-0.25,-0.25
40,0.5,0.25,0.75,0.25,-0.25,0,0,-0.25
41,-1,-0.75,-0.5,-0.5,0,0,0,-0.25
42,0.25,0,0.5,-0.25,0,0,0.25,-0.25
43,0,0,0.333333333333333,0.333333333333333,-0.25,-0.25,-0.25,-0.75
44,0.25,0,0,0.25,0,0.25,0.25,0.25
45,-0.25,0,0.25,0.25,0.25,0.25,0.5,0
46,0,-0.75,-0.25,0,-1,0,0,-0.25
47,-0.25,0,0.5,-0.25,0,0,0,0.25
48,0.75,0.25,0.5,0.5,0,0.75,0.5,0.25
49,0.25,0.75,0.25,0.5,0.25,0.5,0.75,0.75
50,0,0.25,0.25,-0.5,-0.25,-0.25,-0.25,-0.25
51,0.5,0.75,1,0.75,0.25,0,0,0.25
52,-0.5,-0.25,-0.5,-0.25,0.5,0,0,0.5
53,0.25,-0.25,0.25,0,0,-0.25,-0.25,-0.25
54,0.25,-0.5,0.25,0,0.5,0.5,-0.5,0.5
55,-0.25,0.25,0.5,0.25,0.25,0,0.25,0
56,-0.25,-0.25,0.25,0,-0.5,0,-0.25,-0.25
57,0.25,-0.25,-0.25,-0.25,0.25,0,0,0.5
58,-0.5,-0.5,0,0,0.25,0.25,0.25,-0.25
59,0.25,0.75,0.75,0.5,0,0.25,0,0.25
60,0.25,0.25,0.25,0,-0.25,0.25,-0.25,-0.25
61,0,0,0.75,0,0,0.25,0.25,0.25
62,0,0,-0.25,-0.25,0,-0.5,0,-0.5
63,0.25,0.25,0.5,-0.25,0.25,0.25,0.25,0.25
64,0.25,0,0.5,0.5,0,-0.75,0,-0.5
65,0.75,0.5,0.25,0.25,0.25,0.25,-0.25,0
66,-0.25,0,0.25,0,0.5,0.25,0.5,0
67,0,-0.25,0,-0.5,0,-0.25,0.5,0.25
68,-0.25,0,0.25,-0.25,0.25,-0.25,0,0
69,0,0,0.5,0,0.25,-0.25,0.25,0.25
70,0.25,0.5,0.25,-0.5,0.25,0.5,0.25,0
71,0,0,0.25,0.25,0.333333333333333,0,0,-0.333333333333333
72,0.25,0,0.25,-0.25,0,0.25,0.5,-0.25
73,0.25,0,-0.5,-0.5,0.25,-0.25,0.25,0
74,-0.25,-0.5,-0.75,-0.5,0,0,0.5,0
75,0.25,-0.25,0.25,0.25,0.5,0,0.5,0.25
